# Expand Short Notes - Tracking File
# Generated: 2026-01-26
# Total entries: 978
#
# Format: STATUS | FILE_PATH | HEADWORD | NOTES_LENGTH | TIER | POS
# STATUS: pending, in_progress, completed, skipped
#
# This file tracks which entries need their notes expanded.
# Update STATUS as you work through entries.
#

completed | entries/04500/04803_shouhizei.json | {消費税｜しょうひぜい} | 227 | general | noun
completed | entries/00500/00821_undou.json | {運動｜うんどう} | 233 | basic | noun
completed | entries/01000/01120_tokubetsu.json | {特別｜とくべつ} | 233 | core | na-adjective, adverb
completed | entries/01000/01275_kaeri.json | {帰｜かえ}り | 233 | core | noun
completed | entries/01500/01761_akusesarii.json | アクセサリー | 233 | general | noun
completed | entries/01500/01926_kazoeru.json | {数｜かぞ}える | 233 | general | verb (ichidan)
completed | entries/02000/02309_meijiru.json | {命｜めい}じる | 233 | general | ichidan verb
completed | entries/02000/02488_tetsudai.json | {手伝｜てつだ}い | 233 | basic | noun
completed | entries/02500/02857_onaji.json | {同｜おな}じ | 233 | basic | pre-noun adjectival / na-adjective
completed | entries/02500/02859_oneesan.json | お{姉｜ねえ}さん | 233 | basic | noun
completed | entries/02500/02969_mikka.json | {三日｜みっか} | 233 | basic | noun
completed | entries/04500/04834_borantia.json | ボランティア | 233 | general | noun
completed | entries/05500/05527_kenshiki.json | {見識｜けんしき} | 233 | general | noun
completed | entries/05500/05595_konpasu.json | コンパス | 233 | general | noun
completed | entries/00500/00923_chikaku.json | {近｜ちか}く | 234 | basic | noun, adverb
completed | entries/01500/01774_ootobai.json | オートバイ | 234 | general | noun
completed | entries/01500/01781_suutsukeesu.json | スーツケース | 234 | general | noun
completed | entries/01500/01855_yushutsusuru.json | {輸出｜ゆしゅつ}する | 234 | general | noun, verb (suru)
completed | entries/01500/01862_atsukau.json | {扱｜あつか}う | 234 | general | verb (godan)
completed | entries/01500/01901_umeru.json | {埋｜う}める | 234 | general | verb (ichidan)
completed | entries/02000/02325_yurusu.json | {許｜ゆる}す | 234 | general | godan verb
completed | entries/02000/02372_toorisugiru.json | {通｜とお}り{過｜す}ぎる | 234 | core | ichidan verb
completed | entries/02000/02399_hayasu.json | {生｜は}やす | 234 | core | godan verb
completed | entries/02000/02405_hiromeru.json | {広｜ひろ}める | 234 | general | ichidan verb
completed | entries/02500/02802_kousha.json | {後者｜こうしゃ} | 234 | core | noun
completed | entries/04000/04134_ekitai.json | {液体｜えきたい} | 234 | core | noun
completed | entries/05000/05149_teisuu.json | {定数｜ていすう} | 234 | general | noun
completed | entries/05000/05238_daibingu.json | ダイビング | 234 | general | noun
completed | entries/05000/05241_yotou.json | {与党｜よとう} | 234 | general | noun
completed | entries/05000/05285_ketoru.json | ケトル | 234 | general | noun
completed | entries/05000/05485_taijuukei.json | {体重計｜たいじゅうけい} | 234 | general | noun
completed | entries/05500/05526_seiryoku.json | {精力｜せいりょく} | 234 | general | noun
completed | entries/01000/01014_bentou.json | {弁当｜べんとう} | 235 | core | noun
completed | entries/01000/01045_osake.json | お{酒｜さけ} | 235 | basic | noun
completed | entries/01500/01784_tenisu.json | テニス | 235 | general | noun
completed | entries/02000/02067_tamaru.json | {溜｜た}まる | 235 | general | verb (godan)
completed | entries/02000/02154_shita.json | {舌｜した} | 235 | basic | noun
completed | entries/02000/02159_tsume.json | {爪｜つめ} | 235 | basic | noun
completed | entries/02000/02235_namida.json | {涙｜なみだ} | 235 | core | noun
completed | entries/02000/02256_matsu.json | {松｜まつ} | 235 | general | noun
completed | entries/02000/02329_yoseru.json | {寄｜よ}せる | 235 | general | ichidan verb
completed | entries/05000/05433_tiishatsu.json | Tシャツ | 235 | general | noun
completed | entries/05500/05519_sochi.json | {措置｜そち} | 235 | general | noun
completed | entries/05500/05567_yuuretsu.json | {優劣｜ゆうれつ} | 235 | general | noun
completed | entries/06000/06351_naiteki.json | {内的｜ないてき} | 235 | general | na-adjective
completed | entries/00000/00178_kanri.json | {管理｜かんり} | 236 | general | noun, suru verb
completed | entries/00500/00802_ofuro.json | お{風呂｜ふろ} | 236 | basic | noun
completed | entries/00500/00961_koko.json | ここ | 236 | basic | pronoun
completed | entries/00500/00995_sorede.json | それで | 236 | basic | conjunction
completed | entries/01000/01002_tokorode.json | ところで | 236 | core | conjunction
completed | entries/01000/01126_nantoka.json | {何｜なん}とか | 236 | core | adverb
completed | entries/01000/01137_tokoro.json | {所｜ところ} | 236 | basic | noun
completed | entries/02000/02000_shiki.json | 〜{式｜しき} | 236 | general | suffix
completed | entries/02000/02207_koe.json | {声｜こえ} | 236 | general | noun
completed | entries/02000/02317_modosu.json | {戻｜もど}す | 236 | core | godan verb
completed | entries/02000/02389_noberu.json | {述｜の}べる | 236 | general | ichidan verb
completed | entries/02000/02407_fukameru.json | {深｜ふか}める | 236 | general | ichidan verb
completed | entries/04000/04149_koubutsu.json | {鉱物｜こうぶつ} | 236 | general | noun
completed | entries/04500/04815_kaikaku.json | {改革｜かいかく} | 236 | general | noun (verbal)
completed | entries/05000/05151_haadowea.json | ハードウェア | 236 | general | noun
completed | entries/05000/05236_resuringu.json | レスリング | 236 | general | noun
completed | entries/05500/05652_denwasuru.json | {電話｜でんわ}する | 236 | core | verb (suru)
completed | entries/00000/00111_hon.json | {本｜ほん} | 237 | basic | noun
completed | entries/00500/00619_atsui.json | {暑｜あつ}い | 237 | basic | adjective (i-adjective)
completed | entries/00500/00721_konshuu.json | {今週｜こんしゅう} | 237 | basic | noun, adverb
completed | entries/00500/00747_roku.json | {六｜ろく} | 237 | basic | number
completed | entries/01500/01918_odorokasu.json | {驚｜おどろ}かす | 237 | core | verb (godan)
completed | entries/02000/02222_tamago.json | {卵｜たまご} | 237 | basic | noun
completed | entries/02500/02794_kekkou.json | {決行｜けっこう} | 237 | core | noun / suru-verb
completed | entries/02500/02858_oniisan.json | お{兄｜にい}さん | 237 | basic | noun
completed | entries/04500/04744_maji.json | マジ | 237 | general | adverb, na-adjective
completed | entries/04500/04795_houteishiki.json | {方程式｜ほうていしき} | 237 | general | noun
completed | entries/00500/00698_hachi.json | {八｜はち} | 238 | basic | number
completed | entries/00500/00799_musuko.json | {息子｜むすこ} | 238 | basic | noun
completed | entries/00500/00924_dakara.json | だから | 238 | basic | conjunction
completed | entries/00500/00983_rei.json | {零｜れい} | 238 | basic | number
completed | entries/01000/01012_apaato.json | アパート | 238 | general | noun
completed | entries/01000/01314_itasu.json | いたす | 238 | general | verb
completed | entries/02000/02017_ou.json | {負｜お}う | 238 | general | verb (godan)
completed | entries/02000/02068_tameru.json | {溜｜た}める | 238 | general | verb (ichidan)
completed | entries/02000/02087_shokuji.json | {食事｜しょくじ} | 238 | basic | noun (verbal)
completed | entries/02000/02097_arawasu.json | {現｜あらわ}す | 238 | core | verb (godan)
completed | entries/02000/02211_sake.json | {酒｜さけ} | 238 | basic | noun
completed | entries/02000/02262_mushi.json | {虫｜むし} | 238 | core | noun
completed | entries/02500/02854_osu.json | {押｜お}す | 238 | basic | godan verb
completed | entries/02500/02900_gurai.json | ぐらい | 238 | basic | particle
completed | entries/05000/05117_herikoputaa.json | ヘリコプター | 238 | general | noun
completed | entries/05000/05457_shuuten.json | {終点｜しゅうてん} | 238 | general | noun
completed | entries/05500/05521_kanshi.json | {監視｜かんし} | 238 | general | noun
completed | entries/05500/05569_seisui.json | {盛衰｜せいすい} | 238 | general | noun
completed | entries/05500/05846_ichijiteki.json | {一時的｜いちじてき} | 238 | general | na-adjective
completed | entries/00000/00488_furui.json | {古｜ふる}い | 239 | basic | adjective (i-adjective)
completed | entries/00500/00627_haru.json | {春｜はる} | 239 | basic | noun
completed | entries/00500/00726_kutsushita.json | {靴下｜くつした} | 239 | basic | noun
completed | entries/00500/00997_soshite.json | そして | 239 | basic | conjunction
completed | entries/01000/01090_meishi.json | {名刺｜めいし} | 239 | general | noun
completed | entries/01000/01311_goranninaru.json | ご覧になる | 239 | general | verb
completed | entries/01500/01791_purezento.json | プレゼント | 239 | general | noun, verb (suru)
completed | entries/01500/01929_katameru.json | {固｜かた}める | 239 | general | verb (ichidan)
completed | entries/02000/02111_sasu.json | {刺｜さ}す | 239 | general | verb (godan)
completed | entries/02500/02894_osara.json | お{皿｜さら} | 239 | basic | noun
completed | entries/02500/02957_bunshou.json | {文章｜ぶんしょう} | 239 | general | noun
completed | entries/05500/05525_katsuryoku.json | {活力｜かつりょく} | 239 | general | noun
completed | entries/05500/05555_donkaku.json | {鈍角｜どんかく} | 239 | general | noun
completed | entries/05500/05593_kouya.json | {荒野｜こうや} | 239 | general | noun
completed | entries/05500/05902_burokku.json | ブロック | 239 | general | noun, suru verb
completed | entries/00500/00996_sorekara.json | それから | 240 | basic | conjunction
completed | entries/02000/02059_shitagau.json | {従｜したが}う | 240 | general | verb (godan)
completed | entries/02000/02253_hotaru.json | {蛍｜ほたる} | 240 | general | noun
completed | entries/02500/02738_koukai.json | {後悔｜こうかい} | 240 | core | noun / suru-verb
completed | entries/04500/04755_saabaa.json | サーバー | 240 | general | noun
completed | entries/05000/05223_uirusu.json | ウイルス | 240 | general | noun
completed | entries/05000/05442_enshuu.json | {円周｜えんしゅう} | 240 | general | noun
completed | entries/05500/05558_choutan.json | {長短｜ちょうたん} | 240 | core | noun
completed | entries/05500/05630_shiteki.json | {指摘｜してき} | 240 | general | noun
completed | entries/00500/00696_genki.json | {元気｜げんき} | 241 | basic | adjective (na-adjective), noun
completed | entries/00500/00992_soku.json | {足｜そく} | 241 | basic | counter
completed | entries/01000/01124_hen.json | {変｜へん} | 241 | core | na-adjective
completed | entries/01000/01172_keikaku.json | {計画｜けいかく} | 241 | general | noun, suru verb
completed | entries/01000/01289_dekirudake.json | できるだけ | 241 | core | adverb
completed | entries/01500/01763_ajia.json | アジア | 241 | basic | noun
completed | entries/01500/01954_taosu.json | {倒｜たお}す | 241 | general | verb (godan)
completed | entries/02000/02018_oujiru.json | {応｜おう}じる | 241 | general | verb (ichidan)
completed | entries/02000/02066_takamaru.json | {高｜たか}まる | 241 | general | verb (godan)
completed | entries/02000/02072_tataku.json | {叩｜たた}く | 241 | general | verb (godan)
completed | entries/02000/02161_hata.json | {旗｜はた} | 241 | core | noun
completed | entries/02500/02842_aka.json | {赤｜あか} | 241 | basic | noun / no-adjective
completed | entries/04500/04821_hitsuyousei.json | {必要性｜ひつようせい} | 241 | general | noun
completed | entries/05000/05491_hocchikisu.json | ホッチキス | 241 | general | noun
completed | entries/05500/05736_hikikomu.json | {引｜ひ}き{込｜こ}む | 241 | core | verb (godan)
completed | entries/05500/05802_kinkyuusei.json | {緊急性｜きんきゅうせい} | 241 | core | noun
completed | entries/05500/05811_ronrisei.json | {論理性｜ろんりせい} | 241 | general | noun
completed | entries/06000/06352_gaiteki.json | {外的｜がいてき} | 241 | general | na-adjective
completed | entries/00000/00025_chiisai.json | {小｜ちい}さい | 242 | basic | adjective (i-adjective)
completed | entries/00000/00476_hito.json | {人｜ひと} | 242 | basic | noun
completed | entries/00500/00770_benkyou.json | {勉強｜べんきょう} | 242 | basic | noun
completed | entries/00500/00972_mune.json | {胸｜むね} | 242 | basic | noun
completed | entries/00500/00973_nanji.json | {何時｜なんじ} | 242 | basic | pronoun
completed | entries/01000/01064_teikiken.json | {定期券｜ていきけん} | 242 | core | noun
completed | entries/01000/01106_yuumei.json | {有名｜ゆうめい} | 242 | core | na-adjective
completed | entries/01000/01141_kiken.json | {危険｜きけん} | 242 | core | na-adjective, noun
completed | entries/01500/01990_keredo.json | けれど | 242 | basic | conjunction
completed | entries/02000/02210_koshi.json | {腰｜こし} | 242 | basic | noun
completed | entries/02000/02227_touge.json | {峠｜とうげ} | 242 | general | noun
completed | entries/02000/02306_mukeru.json | {向｜む}ける | 242 | general | ichidan verb
completed | entries/02500/02733_kokyou.json | {故郷｜こきょう} | 242 | core | noun
completed | entries/02500/02845_iie.json | いいえ | 242 | basic | interjection
completed | entries/02500/02885_sanpo.json | {散歩｜さんぽ} | 242 | core | noun / suru-verb
completed | entries/03500/03841_keesu.json | ケース | 242 | general | noun
completed | entries/04500/04756_emoi.json | エモい | 242 | general | adjective (i-adjective)
completed | entries/04500/04765_koushin.json | {更新｜こうしん} | 242 | core | noun (verbal)
completed | entries/04500/04770_juunintoiro.json | {十人十色｜じゅうにんといろ} | 242 | general | noun, expression
completed | entries/05500/05576_toumeisei.json | {透明性｜とうめいせい} | 242 | core | noun
completed | entries/05500/05820_hyouron.json | {評論｜ひょうろん} | 242 | general | noun
completed | entries/05500/05825_toukatsu.json | {統括｜とうかつ} | 242 | general | noun
completed | entries/07000/07342_sukyan.json | スキャン | 242 | general | noun
completed | entries/00000/00182_kanshin.json | {関心｜かんしん} | 243 | core | noun
completed | entries/00500/00921_byou.json | {秒｜びょう} | 243 | basic | counter
completed | entries/00500/00925_demo.json | でも | 243 | basic | conjunction
completed | entries/00500/00932_goro.json | {頃｜ごろ} | 243 | general | suffix
completed | entries/00500/00981_onegaishimasu.json | お{願｜ねが}いします | 243 | basic | expression
completed | entries/01000/01093_rippa.json | {立派｜りっぱ} | 243 | core | na-adjective
completed | entries/01500/01864_ateru.json | {当｜あ}てる | 243 | general | verb (ichidan)
completed | entries/01500/01923_orosu.json | {降｜お}ろす | 243 | core | verb (godan)
completed | entries/02000/02171_retsu.json | {列｜れつ} | 243 | general | noun
completed | entries/04500/04898_haishin.json | {配信｜はいしん} | 243 | general | noun, suru-verb
completed | entries/05000/05235_bokushingu.json | ボクシング | 243 | general | noun
completed | entries/05000/05237_saafin.json | サーフィン | 243 | general | noun
completed | entries/05000/05287_tsumekiri.json | {爪切｜つめき}り | 243 | core | noun
completed | entries/05000/05489_nae.json | {苗｜なえ} | 243 | general | noun
completed | entries/05500/05524_chuusei.json | {中世｜ちゅうせい} | 243 | general | noun
completed | entries/00500/00936_hashi.json | {端｜はし} | 244 | general | noun
completed | entries/01000/01125_kibishii.json | {厳｜きび}しい | 244 | core | adjective (i-adjective)
completed | entries/01000/01329_akanbou.json | 赤ん坊 | 244 | core | noun
completed | entries/02000/02024_osowaru.json | {教｜おそ}わる | 244 | core | verb (godan)
completed | entries/02000/02065_takameru.json | {高｜たか}める | 244 | general | verb (ichidan)
completed | entries/02000/02157_tane.json | {種｜たね} | 244 | general | noun
completed | entries/02000/02163_hashi.json | {橋｜はし} | 244 | core | noun
completed | entries/04500/04862_kougaku.json | {工学｜こうがく} | 244 | general | noun
completed | entries/05500/05509_ibiki.json | いびき | 244 | core | noun
completed | entries/05500/05806_datousei.json | {妥当性｜だとうせい} | 244 | general | noun
completed | entries/00000/00175_kanou.json | {可能｜かのう} | 245 | core | noun, na-adjective
completed | entries/00000/00259_kyoka.json | {許可｜きょか} | 245 | general | noun, suru verb
completed | entries/01000/01035_manshon.json | マンション | 245 | core | noun
completed | entries/01000/01079_kissaten.json | {喫茶店｜きっさてん} | 245 | core | noun
completed | entries/01000/01081_konbini.json | コンビニ | 245 | general | noun
completed | entries/01000/01293_yogoreru.json | 汚れる | 245 | core | verb
completed | entries/01500/01950_sumu.json | {済｜す}む | 245 | general | verb (godan)
completed | entries/02000/02246_hebi.json | {蛇｜へび} | 245 | core | noun
completed | entries/02500/02712_geijutsu.json | {芸術｜げいじゅつ} | 245 | core | noun
completed | entries/02500/02895_ototoshi.json | おととし | 245 | core | noun
completed | entries/05000/05225_gaso.json | {画素｜がそ} | 245 | general | noun
completed | entries/05000/05397_terewaaku.json | テレワーク | 245 | general | noun
completed | entries/05500/05564_shingi.json | {真偽｜しんぎ} | 245 | general | noun
completed | entries/05500/05618_hoji.json | {保持｜ほじ} | 245 | general | noun
completed | entries/05500/05625_haaku.json | {把握｜はあく} | 245 | core | noun
completed | entries/08000/08078_kimitsusei.json | {気密性｜きみつせい} | 245 | general | noun
completed | entries/00000/00134_kaigai.json | {海外｜かいがい} | 246 | core | noun
completed | entries/00500/00976_nisen.json | {二千｜にせん} | 246 | basic | number
completed | entries/01000/01010_yuugata.json | {夕方｜ゆうがた} | 246 | basic | noun, adverb
completed | entries/01000/01038_nabe.json | {鍋｜なべ} | 246 | basic | noun
completed | entries/01000/01071_zangyou.json | {残業｜ざんぎょう} | 246 | core | noun
completed | entries/01000/01082_koujou.json | {工場｜こうじょう} | 246 | general | noun
completed | entries/01500/01879_itameru.json | {炒｜いた}める | 246 | general | verb (ichidan)
completed | entries/01500/01897_umaru.json | {埋｜う}まる | 246 | general | verb (godan)
completed | entries/01500/01962_tsunagu.json | {繋｜つな}ぐ | 246 | general | verb (godan)
completed | entries/02000/02038_kasanaru.json | {重｜かさ}なる | 246 | general | verb (godan)
completed | entries/02000/02237_neko.json | {猫｜ねこ} | 246 | basic | noun
completed | entries/02000/02304_muku.json | {向｜む}く | 246 | general | godan verb
completed | entries/02500/02508_deguchi.json | {出口｜でぐち} | 246 | basic | noun
completed | entries/02500/02725_kouun.json | {幸運｜こううん} | 246 | general | noun / na-adjective
completed | entries/02500/02910_tanjoubi.json | {誕生日｜たんじょうび} | 246 | basic | noun
completed | entries/05500/05520_shobun.json | {処分｜しょぶん} | 246 | general | noun
completed | entries/05500/05808_gourisei.json | {合理性｜ごうりせい} | 246 | general | noun
completed | entries/00500/00920_atode.json | {後｜あと}で | 247 | basic | expression
completed | entries/00500/00957_kai.json | {回｜かい} | 247 | basic | counter
completed | entries/01000/01070_yoroshiku.json | よろしく | 247 | basic | expression
completed | entries/02000/02187_kawa.json | {皮｜かわ} | 247 | basic | noun
completed | entries/02500/02930_haizara.json | {灰皿｜はいざら} | 247 | core | noun
completed | entries/02500/02984_yoko.json | {横｜よこ} | 247 | basic | noun
completed | entries/04000/04165_sakihodo.json | {先程｜さきほど} | 247 | core | adverb
completed | entries/05000/05244_shouwakusei.json | {小惑星｜しょうわくせい} | 247 | general | noun
completed | entries/05000/05388_happa.json | {葉｜は}っぱ | 247 | core | noun
completed | entries/05000/05425_mayonaka.json | {真夜中｜まよなか} | 247 | core | noun
completed | entries/05500/05619_suikou.json | {遂行｜すいこう} | 247 | general | noun
completed | entries/05500/05801_seikakusei.json | {正確性｜せいかくせい} | 247 | general | noun
completed | entries/05500/05863_hadasamui.json | {肌寒｜はださむ}い | 247 | general | i-adjective
completed | entries/00000/00132_kadai.json | {課題｜かだい} | 248 | general | noun
completed | entries/00000/00484_mo.json | も | 248 | basic | particle
completed | entries/00500/00933_hai.json | {杯｜はい} | 248 | core | counter
completed | entries/01000/01049_ryokan.json | {旅館｜りょかん} | 248 | core | noun
completed | entries/01500/01802_karera.json | {彼｜かれ}ら | 248 | basic | pronoun
completed | entries/01500/01826_koshousuru.json | {故障｜こしょう}する | 248 | general | noun, verb (suru)
completed | entries/01500/01993_ken.json | 〜{軒｜けん} | 248 | core | counter
completed | entries/02000/02178_ura.json | {裏｜うら} | 248 | core | noun
completed | entries/02000/02193_katachi.json | {形｜かたち} | 248 | general | noun
completed | entries/02000/02321_yaburu.json | {破｜やぶ}る | 248 | core | godan verb
completed | entries/04000/04169_sakusha.json | {作者｜さくしゃ} | 248 | general | noun
completed | entries/05000/05060_puroguramaa.json | プログラマー | 248 | general | noun
completed | entries/05000/05234_henkyoku.json | {編曲｜へんきょく} | 248 | general | noun
completed | entries/05000/05356_patto.json | ぱっと | 248 | general | adverb
completed | entries/05000/05435_kyappu.json | キャップ | 248 | general | noun
completed | entries/05500/05513_ninmu.json | {任務｜にんむ} | 248 | general | noun
completed | entries/05500/05568_koubou.json | {興亡｜こうぼう} | 248 | general | noun
completed | entries/05500/05570_sonbou.json | {存亡｜そんぼう} | 248 | general | noun
completed | entries/05500/05571_hensen.json | {変遷｜へんせん} | 248 | general | noun
completed | entries/05500/05803_noren.json | {暖簾｜のれん} | 248 | core | noun
completed | entries/00000/00468_jikan.json | {時間｜じかん} | 249 | basic | noun
completed | entries/00500/00717_kirei.json | きれい | 249 | basic | adjective (na-adjective)
completed | entries/00500/00763_urusai.json | うるさい | 249 | basic | adjective (i-adjective)
completed | entries/00500/00789_koohii.json | コーヒー | 249 | basic | noun
completed | entries/01000/01028_ichigo.json | いちご | 249 | core | noun
completed | entries/01500/01810_mina.json | {皆｜みな} | 249 | basic | noun, adverb
