completed | 00001_amaru | 余る | general | godan verb
completed | 00449_kaku | 各〜 | general | prefix
completed | 00452_nan | 難 | general | noun
completed | 00453_sanka | 酸化 | general | noun, suru-verb
completed | 00454_sansei | 酸性 | general | noun, no-adjective
completed | 00455_seichou | 生長 | general | noun, suru-verb
completed | 00456_seinen | 成年 | general | noun
completed | 00457_shinkou | 新興 | general | noun, no-adjective
completed | 00459_shiyou | 私用 | general | noun
completed | 00460_shuushoku | 修飾 | general | noun, suru-verb
completed | 00461_tokuchou | 特長 | general | noun
completed | 00462_tomo | 供 | general | noun
completed | 00465_zen | 善 | general | noun
completed | 00466_arai | 荒い | general | adjective (i-adjective)
completed | 00471_shinkou | 振興 | general | noun, suru-verb
completed | 00472_shiyou | 仕様 | general | noun
completed | 00691_boorupen | ボールペン | general | noun
completed | 00694_enpitsu | 鉛筆 | general | noun
completed | 00702_hasami | はさみ | general | noun
completed | 00703_heta | 下手 | general | adjective (na-adjective), noun
completed | 00710_kaigi | 会議 | general | noun, verb (suru)
completed | 00715_keitai | 携帯 | general | noun
completed | 00716_keshigomu | 消しゴム | general | noun
completed | 00718_kitte | 切手 | general | noun
completed | 00719_komu | 込む | general | verb (godan)
completed | 00738_nooto | ノート | general | noun
completed | 00741_okureru | 遅れる | general | verb (ichidan)
completed | 00779_hontou | 本当 | general | noun
completed | 00824_yotei | 予定 | general | noun
completed | 00836_fuan | 不安 | general | adjective (na-adjective)
completed | 00838_fuooku | フォーク | general | noun
completed | 00839_furu | 降る | general | verb (godan)
completed | 00840_gomi | ゴミ | general | noun
completed | 00842_hatake | 畑 | general | noun
completed | 00844_henji | 返事 | general | noun
completed | 00863_korobu | 転ぶ | general | verb (godan)
completed | 00873_nigiyaka | にぎやか | general | adjective (na-adjective)
completed | 00886_shinamono | 品物 | general | noun
completed | 00889_shumi | 趣味 | general | noun
completed | 00891_supuun | スプーン | general | noun
completed | 00932_goro | 頃 | general | suffix
completed | 00936_hashi | 端 | general | noun
completed | 00937_hen | 辺 | general | noun, suffix
completed | 00974_nenkan | 年間 | general | counter
completed | 01001_temae | 手前 | general | noun
completed | 01012_apaato | アパート | general | noun
completed | 01013_banana | バナナ | general | noun
completed | 01017_buchou | 部長 | general | noun
completed | 01022_depaato | デパート | general | noun
completed | 01024_eigakan | 映画館 | general | noun
completed | 01025_furaipan | フライパン | general | noun
completed | 01039_naifu | ナイフ | general | noun
completed | 01041_noriba | 乗り場 | general | noun
completed | 01047_renji | レンジ | general | noun
completed | 01050_sebiro | 背広 | general | noun
completed | 01065_tesuto | テスト | general | noun
completed | 01068_waishatsu | ワイシャツ | general | noun
completed | 01075_kachou | 課長 | general | noun
completed | 01077_kappu | カップ | general | noun
completed | 01078_keisatsusho | 警察署 | general | noun
completed | 01081_konbini | コンビニ | general | noun
completed | 01082_koujou | 工場 | general | noun
completed | 01084_kurasu | クラス | general | noun
completed | 01090_meishi | 名刺 | general | noun
completed | 01091_naraberu | 並べる | general | verb (ichidan)
completed | 01094_shucchou | 出張 | general | noun, suru verb
completed | 01100_mensetsu | 面接 | general | noun, suru verb
completed | 01102_riyuu | 理由 | general | noun
completed | 01105_wakasu | 沸かす | general | verb (godan)
completed | 01113_wakareru | 別れる | general | verb (ichidan)
completed | 01114_you | よう | general | noun
completed | 01122_waku | 沸く | general | verb (godan)
completed | 01123_yaku | 焼く | general | verb (godan)
completed | 01130_yakunitatsu | 役に立つ | general | verb (godan)
completed | 01131_anzen | 安全 | general | na-adjective, noun
completed | 01138_yakeru | 焼ける | general | verb (ichidan)
completed | 01139_hou | 方 | general | noun
completed | 01140_ichiban | 一番 | general | adverb, noun
completed | 01143_naru | 鳴る | general | verb (godan)
completed | 01148_jiyuu | 自由 | general | na-adjective, noun
completed | 01152_tsumori | つもり | general | noun
completed | 01155_imi | 意味 | general | noun, suru verb
completed | 01158_mawasu | 回す | general | verb (godan)
completed | 01159_niru | 似る | general | verb (ichidan)
completed | 01160_taoreru | 倒れる | general | verb (ichidan)
completed | 01161_yureru | 揺れる | general | verb (ichidan)
completed | 01162_atsumaru | 集まる | general | verb (godan)
completed | 01163_hikaru | 光る | general | verb (godan)
completed | 01166_nusumu | 盗む | general | verb (godan)
completed | 01168_tasu | 足す | general | verb (godan)
completed | 01169_yorokobu | 喜ぶ | general | verb (godan)
completed | 01170_atsumeru | 集める | general | verb (ichidan)
completed | 01171_hikkosu | 引っ越す | general | verb (godan)
completed | 01172_keikaku | 計画 | general | noun, suru verb
completed | 01173_mitsukaru | 見つかる | general | verb (godan)
completed | 01174_nuru | 塗る | general | verb (godan)
completed | 01176_yoroshii | よろしい | general | adjective (i-adjective)
completed | 01177_ayamaru | 謝る | general | verb (godan)
completed | 01179_keiken | 経験 | general | noun, suru verb
completed | 01182_tazuneru | 訪ねる | general | verb (ichidan)
completed | 01183_fueru | 増える | general | verb (ichidan)
completed | 01185_kazaru | 飾る | general | verb (godan)
completed | 01186_mukau | 向かう | general | verb (godan)
completed | 01187_nokoru | 残る | general | verb (godan)
completed | 01189_tateru | 建てる | general | verb (ichidan)
completed | 01191_isogu | 急ぐ | general | verb (godan)
completed | 01193_mukaeru | 迎える | general | verb (ichidan)
completed | 01196_tateru | 立てる | general | verb (ichidan)
completed | 01197_fumu | 踏む | general | verb (godan)
completed | 01198_inoru | 祈る | general | verb (godan)
completed | 01199_katsu | 勝つ | general | verb (godan)
completed | 01202_shikaru | 叱る | general | verb (godan)
completed | 01203_tanoshimu | 楽しむ | general | verb (godan)
completed | 01204_homeru | 褒める | general | verb (ichidan)
completed | 01205_kamu | 噛む | general | verb (godan)
completed | 01208_shiraseru | 知らせる | general | verb (ichidan)
completed | 01209_tariru | 足りる | general | verb (ichidan)
completed | 01210_ueru | 植える | general | verb (ichidan)
completed | 01212_kamau | かまう | general | verb (godan)
completed | 01213_shiraberu | 調べる | general | verb (ichidan)
completed | 01216_betsu | 別 | general | adjective (na-adjective)
completed | 01221_utsu | 打つ | general | verb (godan)
completed | 01222_ganbaru | 頑張る | general | verb (godan)
completed | 01225_susumu | 進む | general | verb (godan)
completed | 01226_tsutsumu | 包む | general | verb (godan)
completed | 01227_utsusu | 写す | general | verb (godan)
completed | 01229_kikoeru | 聞こえる | general | verb (ichidan)
completed | 01230_suberu | 滑る | general | verb (godan)
completed | 01233_kimaru | 決まる | general | verb (godan)
completed | 01235_sodateru | 育てる | general | verb (ichidan)
completed | 01236_tsuru | 釣る | general | verb (godan)
completed | 01237_kuraberu | 比べる | general | verb (ichidan)
completed | 01239_sakan | 盛ん | general | adjective (na-adjective)
completed | 01245_komakai | 細かい | general | adjective (i-adjective)
completed | 01246_otosu | 落とす | general | verb (godan)
completed | 01248_todokeru | 届ける | general | verb (ichidan)
completed | 01250_odoru | 踊る | general | verb (godan)
completed | 01251_senmon | 専門 | general | noun
completed | 01252_torikaeru | 取り替える | general | verb (ichidan)
completed | 01255_odoroku | 驚く | general | verb (godan)
completed | 01260_tokuni | 特に | general | adverb
completed | 01262_konogoro | この頃 | general | adverb
completed | 01264_sakki | さっき | general | adverb
completed | 01265_kaigishitsu | 会議室 | general | noun
completed | 01268_ijimeru | いじめる | general | verb (ichidan)
completed | 01269_kaijou | 会場 | general | noun
completed | 01271_kaiwa | 会話 | general | noun
completed | 01274_asai | 浅い | general | adjective (i-adjective)
completed | 01277_kagaku | 科学 | general | noun
completed | 01279_umai | うまい | general | adjective (i-adjective)
completed | 01280_isshoukenmei | 一生懸命 | general | adverb
completed | 01285_asobi | 遊び | general | noun
completed | 01287_korekara | これから | general | adverb
completed | 01288_anshin | 安心 | general | noun
completed | 01290_kabe | 壁 | general | noun
completed | 01291_annai | 案内 | general | noun
completed | 01296_kawari | 代わり | general | noun
completed | 01298_kankei | 関係 | general | noun
completed | 01301_igaku | 医学 | general | noun
completed | 01302_kikai | 機会 | general | noun
completed | 01309_kimono | 着物 | general | noun
completed | 01311_goranninaru | ご覧になる | general | godan verb
completed | 01313_kyouiku | 教育 | general | noun
completed | 01314_itasu | いたす | general | godan verb
completed | 01315_ito | 糸 | general | noun
completed | 01318_kinjo | 近所 | general | noun
completed | 01319_mousu | 申す | general | godan verb
completed | 01320_inaka | 田舎 | general | noun
completed | 01321_kokoro | 心 | general | noun
completed | 01322_mairu | 参る | general | godan verb
completed | 01324_oru | おる | general | godan verb
completed | 01325_uketsuke | 受付 | general | noun
completed | 01331_uriba | 売り場 | general | noun
completed | 01333_untenshu | 運転手 | general | noun
completed | 01335_unten | 運転 | general | noun
completed | 01337_enryo | 遠慮 | general | noun
completed | 01339_oiwai | お祝い | general | noun
completed | 01344_gasu | ガス | general | noun
completed | 01345_oshiire | 押し入れ | general | noun
completed | 01346_gasorin | ガソリン | general | noun
completed | 01347_odori | 踊り | general | noun
completed | 01348_gasorinsutando | ガソリンスタンド | general | noun
completed | 01349_omatsuri | お祭り | general | noun
completed | 01350_kiro | キロ | general | noun
completed | 01352_kuuraa | クーラー | general | noun
completed | 01354_guramu | グラム | general | noun
completed | 01355_omote | 表 | general | noun
completed | 01358_kooto | コート | general | noun
completed | 01360_konsaato | コンサート | general | noun
completed | 01363_saizu | サイズ | general | noun
completed | 01365_sandaru | サンダル | general | noun
completed | 01367_suutsu | スーツ | general | noun
completed | 01368_sukuriin | スクリーン | general | noun
completed | 01369_suteeki | ステーキ | general | noun
completed | 01370_sutereo | ステレオ | general | noun
completed | 01372_senchi | センチ | general | noun
completed | 01373_sofuaa | ソファー | general | noun
completed | 01374_pantsu | パンツ | general | noun
completed | 01375_handobaggu | ハンドバッグ | general | noun
completed | 01376_piano | ピアノ | general | noun
completed | 01377_fuakkusu | ファックス | general | noun
completed | 01378_furonto | フロント | general | noun
completed | 01379_beru | ベル | general | noun
completed | 01380_kangofu | 看護婦 | general | noun
completed | 01382_kisoku | 規則 | general | noun
completed | 01383_kinu | 絹 | general | noun
completed | 01387_kyoukai | 教会 | general | noun
completed | 01388_kyousou | 競争 | general | noun (verbal)
completed | 01389_gijutsu | 技術 | general | noun
completed | 01390_kuuki | 空気 | general | noun
completed | 01391_guai | 具合 | general | noun
completed | 01394_keizai | 経済 | general | noun
completed | 01396_kenkyuu | 研究 | general | noun (verbal)
completed | 01397_kenkyuushitsu | 研究室 | general | noun
completed | 01400_genin | 原因 | general | noun
completed | 01401_kougu | 工具 | general | noun
completed | 01402_kougyou | 工業 | general | noun
completed | 01404_kousaten | 交差点 | general | noun
completed | 01405_koshou | 故障 | general | noun (verbal)
completed | 01406_kokusai | 国際 | general | noun
completed | 01410_konnan | 困難 | general | noun
completed | 01414_sakka | 作家 | general | noun
completed | 01419_sangyou | 産業 | general | noun
completed | 01420_shiawase | 幸せ | general | noun
completed | 01421_shihai | 支配 | general | noun (verbal)
completed | 01422_shiken | 試験 | general | noun (verbal)
completed | 01423_shizen | 自然 | general | noun
completed | 01424_jidai | 時代 | general | noun
completed | 01425_shitsu | 質 | general | noun
completed | 01427_shakai | 社会 | general | noun
completed | 01429_shuukan | 習慣 | general | noun
completed | 01431_junbi | 準備 | general | noun (verbal)
completed | 01432_shoukai | 紹介 | general | noun (verbal)
completed | 01434_shousetsu | 小説 | general | noun
completed | 01435_shoutai | 招待 | general | noun (verbal)
completed | 01436_shouhin | 商品 | general | noun
completed | 01437_shoubu | 勝負 | general | noun (verbal)
completed | 01442_suugaku | 数学 | general | noun
completed | 01444_seisan | 生産 | general | noun (verbal)
completed | 01445_seihin | 製品 | general | noun
completed | 01448_sekiyu | 石油 | general | noun
completed | 01449_setsumei | 説明 | general | noun (verbal)
completed | 01450_sensou | 戦争 | general | noun (verbal)
completed | 01455_taifuu | 台風 | general | noun
completed | 01457_taishikan | 大使館 | general | noun
completed | 01458_tatemono | 建物 | general | noun
completed | 01461_chiiki | 地域 | general | noun
completed | 01462_chikaku | 近く | general | noun
completed | 01464_chuui | 注意 | general | noun (verbal)
completed | 01468_teido | 程度 | general | noun
completed | 01469_tekisuto | テキスト | general | noun
completed | 01470_tenrankai | 展覧会 | general | noun
completed | 01474_denpou | 電報 | general | noun
completed | 01477_toshi | 都市 | general | noun
completed | 01479_dougu | 道具 | general | noun
completed | 01482_naiyou | 内容 | general | noun
completed | 01486_nikki | 日記 | general | noun
completed | 01488_ninki | 人気 | general | noun
completed | 01489_nuno | 布 | general | noun
completed | 01490_nenrei | 年齢 | general | noun
completed | 01491_nougyou | 農業 | general | noun
completed | 01494_hakubutsukan | 博物館 | general | noun
completed | 01495_hatsumei | 発明 | general | noun (verbal)
completed | 01497_hantai | 反対 | general | noun (verbal)
completed | 01498_hikidashi | 引き出し | general | noun
completed | 01499_bideo | ビデオ | general | noun
completed | 01500_biru | ビル | general | noun
completed | 01501_fuben | 不便 | general | noun
completed | 01503_burashi | ブラシ | general | noun
completed | 01504_bunka | 文化 | general | noun
completed | 01505_bungaku | 文学 | general | noun
completed | 01506_bunpou | 文法 | general | noun
completed | 01508_beruto | ベルト | general | noun
completed | 01509_hoken | 保険 | general | noun
completed | 01516_mukou | 向こう | general | noun
completed | 01517_yakusoku | 約束 | general | noun (verbal)
completed | 01520_youji | 用事 | general | noun
completed | 01521_yousu | 様子 | general | noun
completed | 01522_yoyaku | 予約 | general | noun (verbal)
completed | 01523_ryouri | 料理 | general | noun (verbal)
completed | 01524_renraku | 連絡 | general | noun (verbal)
completed | 01527_anime | アニメ | general | noun
completed | 01528_arubaito | アルバイト | general | noun (verbal)
completed | 01529_oobaa | オーバー | general | noun
completed | 01530_konpyuutaa | コンピューター | general | noun
completed | 01531_saabisu | サービス | general | noun (verbal)
completed | 01532_sofuto | ソフト | general | noun
completed | 01533_taoru | タオル | general | noun
completed | 01534_taipu | タイプ | general | noun (verbal)
completed | 01535_teepu | テープ | general | noun
completed | 01537_paasento | パーセント | general | noun
completed | 01538_pasokon | パソコン | general | noun
completed | 01539_purinto | プリント | general | noun (verbal)
completed | 01540_puroguramu | プログラム | general | noun
completed | 01542_ressun | レッスン | general | noun
completed | 01543_repooto | レポート | general | noun
completed | 01544_waapuro | ワープロ | general | noun
completed | 01548_ka | 課 | general | suffix
completed | 01550_kansei | 完成 | general | noun, suru verb
completed | 01555_kubetsu | 区別 | general | noun, suru verb
completed | 01560_shurui | 種類 | general | noun
completed | 01561_yatto | やっと | general | adverb
